transcript	GSK_rep1	GSK_rep2	LLY_rep1	LLY_rep2
L1FLnI_6q22.1v	405	211	195	223
L1FLnI_10q23.31a	399	280	646	291
L1FLnI_22q12.1c	396	391	409	353
L1FLnI_11q14.1s	388	351	834	335
L1FLnI_Xq21.1oc	388	414	511	440
L1FLnI_16q12.1n	386	324	619	320
L1FLnI_11p15.2f	385	344	462	319
L1FLnI_1q42.2c	378	485	597	502
L1FLnI_5q13.3b	377	501	762	430
L1FLnI_6q14.2j	377	381	618	402
L1FLnI_20p11.21u	372	180	348	128
L1FLnI_1q42.12b	371	205	555	209
L1FLnI_8q21.3da	370	305	447	266
L1FLnI_12p13.33a	363	365	437	340
L1FLnI_1q44b	361	168	549	205
L1FLnI_1q31.2m	356	535	508	470
L1FLnI_11p12ma	350	142	438	145
L1FLnI_1p22.2q	344	262	437	210
L1FLnI_5q31.1d	337	235	479	268
L1FLnI_8q23.1y	336	481	652	588
L1FLnI_6q24.2j	332	275	400	255
L1FLnI_Xq26.3h	331	339	422	296
L1FLnI_9p11.2f	326	361	481	319
L1FLnI_9p21.1w	325	163	461	146
L1FLnI_14q12ya	325	572	662	587
L1FLnI_5q22.1j	316	211	208	193
L1FLnI_6q14.1b	312	164	432	159
L1FLnI_4p15.31r	312	260	429	218
L1FLnI_1q44c	312	167	552	179
L1FLnI_3q13.33x	311	308	595	332
L1FLnI_1q42.2b	308	262	409	280
L1FLnI_16p12.3b	306	198	413	174
L1FLnI_5p13.3x	306	237	596	270
L1FLnI_1q24.3l	303	212	473	225
L1FLnI_Xq26.2a	298	313	393	274
L1FLnI_5q31.1l	298	319	400	315
L1FLnI_9p21.3i	297	358	445	419
L1FLnI_5q33.1b	295	228	394	210
L1FLnI_15q21.2m	294	197	486	241
L1FLnI_12p13.2d	293	158	395	154
L1FLnI_2q35h	292	263	375	198
L1FLnI_5p13.1r	288	309	395	323
L1FLnI_13q31.3m	286	126	417	131
L1FLnI_9p21.1la	286	272	321	263
L1FLnI_1p22.2r	283	259	350	205
L1FLnI_11q13.5b	282	488	372	395
L1FLnI_9p21.3f	281	79	532	89
L1FLnI_8q11.21f	281	347	319	270
L1FLnI_5q15z	279	440	602	444
L1FLnI_2p23.3a	277	300	342	226
L1FLnI_19q11c	277	229	392	176
L1FLnI_7q32.3a	277	256	381	212
L1FLnI_2q22.3d	277	253	371	258
L1FLnI_1p11.2g	277	306	324	285
L1FLnI_5q15o	276	233	324	214
L1FLnI_6q16.3c	275	273	365	273
L1FLnI_7q32.1	275	759	445	657
L1FLnI_13q14.11g	275	291	340	273
L1FLnI_22q11.23b	274	258	283	191
L1FLnI_7p21.1k	268	184	358	123
L1FLnI_10q22.3h	265	430	364	392
L1FLnI_1q42.12d	265	149	452	114
L1FLnI_2q31.1ba	264	161	374	145
L1FLnI_2q37.1e	264	329	310	261
L1FLnI_1q25.1o	262	222	315	240
L1FLnI_9p21.1aa	262	180	383	92
L1FLnI_9p11.2e	260	297	449	310
L1FLnI_18q12.2j	260	186	323	164
L1FLnI_8q11.23n	259	520	373	413
L1FLnI_Xq13.1ja	258	241	337	267
L1FLnI_7q11.21v	258	228	354	220
L1FLnI_7q11.23a	258	177	372	152
L1FLnI_9p21.1v	258	147	428	125
L1FLnI_12q23.3g	257	853	360	667
L1FLnI_15q22.31a	255	208	331	183
L1FLnI_10q23.31m	254	180	449	139
L1FLnI_4q24za	254	315	345	269
L1FLnI_12q24.22a	250	109	177	110
L1FLnI_8q21.11n	250	192	289	144
L1FLnI_2q22.3s	250	450	131	610
L1FLnI_1p12u	249	173	342	148
L1FLnI_19q13.2d	247	237	379	169
L1FLnI_9p21.1y	247	156	357	157
L1FLnI_11p15.3c	246	182	331	190
L1FLnI_2q12.2b	245	221	247	184
L1FLnI_10q23.33a	244	123	419	115
L1FLnI_6p22.1b	243	325	391	301
L1FLnI_4q24qa	241	199	416	204
L1FLnI_6q16.3na	239	196	272	177
L1FLnI_8q24.22g	237	191	323	170
L1FLnI_2p21b	237	269	314	273
L1FLnI_7q33c	235	213	211	167
L1FLnI_Xq13.2ia	234	186	326	124
L1FLnI_1q25.1h	232	244	360	245
L1FLnI_11q13.5h	231	235	309	217
L1FLnI_11q13.5c	231	276	325	237
L1FLnI_2q11.1e	231	148	436	93
L1FLnI_2q14.1ha	230	196	351	222
L1FLnI_10p11.22f	229	192	301	181
L1FLnI_Xq26.2d	226	139	286	88
L1FLnI_12p12.1h	224	227	551	252
L1FLnI_21q22.3b	223	99	265	89
L1FLnI_Xq26.2e	222	115	232	112
L1FLnI_14q22.3j	221	144	250	124
L1FLnI_6q16.2d	220	168	329	162
L1FLnI_3p12.3t	219	175	327	149
L1FLnI_1q32.3d	218	139	153	154
L1FLnI_9q22.32b	216	96	341	100
L1FLnI_21q22.13b	215	159	271	169
L1FLnI_2q14.2m	215	222	323	205
L1FLnI_13q22.3a	214	230	261	226
L1FLnI_4q26ua	214	186	338	189
L1FLnI_16p12.3a	214	120	275	115
L1FLnI_15q26.1c	214	148	173	120
L1FLnI_6p12.3h	213	194	362	207
L1FLnI_Xq22.1fb	213	145	299	110
L1FLnI_6q22.1u	211	303	336	219
L1FLnI_3q13.2m	210	110	248	86
L1FLnI_12q12db	209	209	292	213
L1FLnI_3p14.3l	207	107	266	125
L1FLnI_6q13m	205	139	386	156
L1FLnI_6q24.3g	205	77	364	92
L1FLnI_7q21.3b	205	139	236	121
L1FLnI_4p14p	204	133	230	156
L1FLnI_4q13.2b	204	123	325	103
L1FLnI_1q32.3e	202	90	194	107
L1FLnI_3q22.3e	201	296	278	248
L1FLnI_4q28.1a	201	192	219	222
L1FLnI_7q22.1e	201	271	353	194
L1FLnI_1p31.3y	201	394	315	355
L1FLnI_3q13.13c	199	102	274	80
L1FLnI_12q15k	199	122	283	93
L1FLnI_5p13.1b	198	109	280	116
L1FLnI_6q16.2a	197	120	297	95
L1FLnI_2q14.2l	196	144	272	188
L1FLnI_2p14w	196	136	224	158
L1FLnI_4q28.2l	196	146	269	180
L1FLnI_12q13.11y	195	171	305	199
L1FLnI_12p12.2b	194	105	223	82
L1FLnI_14q24.2c	192	121	243	120
L1FLnI_19q13.31d	192	206	266	177
L1FLnI_5q14.1c	192	213	248	213
L1FLnI_4q26wa	190	111	319	86
L1FLnI_12q23.1b	188	169	302	192
L1FLnI_8q24.3c	188	107	245	87
L1FLnI_8q23.1e	188	133	273	114
L1FLnI_1p22.1c	188	118	279	97
L1FLnI_11q21b	187	350	312	304
L1FLnI_8q21.13ja	187	134	214	135
L1FLnI_5q23.3c	186	153	198	133
L1FLnI_5q14.1h	186	182	303	238
L1FLnI_13q14.2w	185	140	265	145
L1FLnI_6q14.1a	185	92	190	77
L1FLnI_5q13.2j	183	127	294	115
L1FLnI_13q14.2u	182	150	299	176
L1FLnI_1p22.2t	182	104	320	98
L1FLnI_9p21.1ca	182	105	232	108
L1FLnI_3q11.1j	181	116	273	71
L1FLnI_3q22.2b	180	146	188	111
L1FLnI_5q31.3a	179	256	269	227
L1FLnI_3p25.1i	179	255	244	203
L1FLnI_14q12ra	178	146	383	160
L1FLnI_5q13.3h	177	171	279	223
L1FLnI_12q24.13b	177	54	89	52
L1FLnI_12q12cb	176	113	200	116
L1FLnI_1p21.2c	176	167	275	151
L1FLnI_2q31.1s	176	144	193	105
L1FLnI_15q21.3aa	176	172	243	119
L1FLnI_1q42.3d	176	140	318	138
L1FLnI_4p13e	175	116	165	117
L1FLI_16p12.3b	175	287	213	240
L1FLnI_1q42.12c	175	111	352	96
L1FLnI_4q28.1la	174	270	306	245
L1FLnI_9p24.2c	174	136	215	102
L1FLnI_15q13.1a	173	73	156	41
L1FLnI_8q23.1c	173	76	268	65
L1FLnI_2p16.1x	173	51	217	73
L1FLnI_18p11.31l	172	91	197	98
L1FLnI_18p11.21k	172	144	239	124
L1FLnI_5q14.1f	172	185	237	211
L1FLnI_7q22.2a	172	100	198	118
L1FLnI_Xp11.23d	172	95	207	85
L1FLnI_1q42.12i	172	126	235	106
L1FLnI_9p21.1ba	172	119	222	101
L1FLnI_Xq22.3aa	171	84	280	56
L1FLnI_7q36.1o	170	111	240	94
L1FLnI_10q11.21i	170	101	256	89
L1FLnI_1q25.1i	168	152	196	116
L1FLnI_1q42.12g	168	112	232	108
L1FLnI_Xq27.3c	168	50	266	42
L1FLnI_6q25.2b	168	53	277	68
L1FLnI_1p21.3b	167	235	258	208
L1FLnI_7q31.1y	167	111	172	109
L1FLnI_9q22.33c	167	87	221	69
L1FLnI_12p12.3ga	167	88	217	86
L1FLnI_12p11.22h	166	140	215	122
L1FLnI_8q11.21d	166	189	237	208
L1FLnI_8q11.21b	166	145	177	151
L1FLnI_7p21.1g	165	124	252	136
L1FLnI_8p11.21k	165	69	146	44
L1FLnI_Xq21.2r	165	87	296	65
L1FLnI_9q32a	165	89	170	98
L1FLnI_3q13.12i	164	62	166	54
L1FLnI_1p31.1ab	164	142	317	148
L1FLnI_1p13.3e	164	78	278	96
L1FLnI_14q23.3q	162	275	210	209
L1FLnI_9p24.1l	162	121	260	89
L1FLnI_3p24.3d	162	149	222	141
L1FLnI_11p14.3e	162	128	269	104
L1FLnI_2q11.2f	161	90	256	77
L1FLnI_2p15a	161	91	226	83
L1FLnI_6p21.31	161	96	248	57
L1FLnI_11q22.3z	160	163	234	114
L1FLnI_4q31.3a	160	242	183	168
L1FLnI_9q33.2b	160	207	260	185
L1FLnI_15q13.2c	160	66	228	53
L1FLnI_2q33.3i	159	135	177	94
L1FLnI_2p13.1c	158	124	227	124
L1FLnI_5q31.3b	157	178	227	175
L1FLnI_1p22.1g	157	140	243	120
L1FLnI_9p24.1e	157	114	263	119
L1FLnI_7p14.2e	157	125	212	129
L1FLnI_8q22.3l	157	83	209	65
L1FLnI_4p16.2m	157	72	219	93
L1FLnI_5q31.1a	156	119	149	113
L1FLnI_17p13.3a	156	82	162	81
L1FLnI_5p14.2b	156	118	241	76
L1FLnI_21p11.2k	155	137	228	129
L1FLnI_3q25.33h	154	83	166	120
L1FLnI_Xq13.2ja	153	88	303	66
L1FLnI_4q21.21l	152	93	238	108
L1FLnI_Xq13.2ga	152	68	204	57
L1FLnI_9p21.1x	152	103	203	58
L1FLnI_9p21.1ha	152	46	213	39
L1FLnI_10q21.1pa	151	155	224	186
L1FLnI_7p22.1f	151	96	221	99
L1FLnI_11p15.4da	151	59	194	48
L1FLnI_Xq21.1wb	150	79	188	109
L1FLnI_12p11.21d	150	112	192	84
L1FLnI_Xq25fc	150	169	170	131
L1FLnI_9q22.32d	150	146	188	102
L1FLnI_4q12fb	150	127	223	131
L1FLnI_5p12j	149	176	280	159
L1FLnI_Xp11.21ob	149	125	227	102
L1FLnI_4p15.31o	149	227	280	201
L1FLnI_11p13u	148	132	257	140
L1FLnI_2q33.1t	148	132	287	108
L1FLnI_11q22.3aa	146	108	167	104
L1FLnI_Xq13.2z	146	153	273	179
L1FLnI_8q22.2h	145	164	250	195
L1FLnI_11q22.3a	145	75	214	64
L1FLnI_4p15.2x	144	131	248	130
L1FLnI_6q14.2h	144	91	217	86
L1FLnI_2q34ba	144	51	229	60
L1FLnI_14q24.1e	143	132	174	99
L1FLnI_3q13.33i	143	151	251	114
L1FLnI_1p33n	142	48	147	42
L1FLnI_9p11.2c	142	99	195	106
L1FLnI_13q22.1a	141	97	203	106
L1FLnI_4q24cb	141	129	280	138
L1FLnI_Xq11.1s	141	113	153	103
L1FLnI_5q13.2a	140	89	138	89
L1FLnI_2p14a	140	66	232	75
L1FLnI_4p15.31p	140	79	190	64
L1FLnI_Xq11.2fa	140	157	159	107
L1FLnI_8p21.2p	139	198	226	229
L1FLnI_Xq22.3z	138	68	175	68
L1FLnI_6q22.31ta	138	111	208	115
L1FLnI_5p13.2b	138	46	294	46
L1FLnI_Xp11.22ka	138	171	199	178
L1FLnI_Xq13.2ea	138	52	183	61
L1FLnI_13q32.1f	138	68	207	69
L1FLnI_15q13.2e	137	61	147	70
L1FLnI_10q11.22c	137	76	213	66
L1FLnI_4q26b	137	83	161	70
L1FLnI_3p22.2e	137	163	161	120
L1FLnI_10q22.2c	137	115	189	81
L1FLnI_12p13.31b	136	41	273	52
L1FLnI_3q22.3h	136	147	158	141
L1FLnI_1p22.2p	136	111	229	95
L1FLnI_10p11.1a	136	101	164	99
L1FLnI_11q12.3a	136	52	194	41
L1FLnI_4p15.31q	135	81	173	62
L1FLnI_9p24.3a	134	159	273	173
L1FLnI_8q22.1k	134	86	147	88
L1FLnI_11p15.3h	134	127	203	144
L1FLnI_3q11.2ca	133	134	186	128
L1FLnI_12q23.3f	133	83	155	69
L1FLnI_4p11b	133	103	151	97
L1FLnI_1p22.1i	133	52	132	53
L1FLnI_7q34a	132	165	206	142
L1FLnI_2q32.2g	132	131	175	90
L1FLnI_1p31.3z	131	29	75	26
L1FLnI_1p13.3l	131	106	238	80
L1FLnI_15q26.3e	131	74	259	67
L1FLnI_2q14.1aa	131	53	170	40
L1FLnI_9p24.2d	131	135	159	107
L1FLnI_2q31.2g	130	98	152	94
L1FLnI_Yp11.2h	130	77	133	73
L1FLnI_7q22.3g	129	106	196	93
L1FLnI_1q44a	129	74	198	79
L1FLnI_11p15.4ca	129	68	187	57
L1FLnI_4q21.3h	128	111	154	97
L1FLnI_1p13.2m	128	63	156	70
L1FLnI_1q25.1k	128	76	153	65
L1FLnI_Xq22.2a	128	64	210	65
L1FLnI_1p12s	128	237	183	199
L1FLnI_12p13.33c	127	84	148	52
L1FLnI_2p15i	127	209	193	170
L1FLnI_1p32.3d	126	106	162	66
L1FLnI_4q35.2d	126	66	180	58
L1FLnI_3q13.33c	126	77	195	67
L1FLnI_9q33.2c	125	103	170	63
L1FLnI_12p13.32j	125	100	154	71
L1FLnI_6q22.33i	125	141	200	126
L1FLnI_7q31.33h	124	235	364	197
L1FLnI_1q43k	123	59	197	54
L1FLnI_2p16.2g	123	189	193	140
L1FLnI_16q12.1d	122	89	188	80
L1FLnI_1q24.2j	122	89	124	71
L1FLnI_7q21.2o	122	75	207	62
L1FLnI_7q36.1a	122	108	169	63
L1FLnI_9q31.2l	122	86	210	81
L1FLnI_6q21m	121	114	187	112
L1FLnI_Xq22.1db	121	66	157	61
L1FLnI_9p21.1da	121	59	124	48
L1FLnI_1q42.3b	121	85	227	76
L1FLnI_5q23.1ja	120	181	198	163
L1FLnI_5q12.3r	120	60	232	71
L1FLnI_Xq13.2fa	120	54	167	49
L1FLnI_14q24.2b	120	119	152	106
L1FLnI_5p14.2c	120	69	162	54
L1FLnI_Xq13.1c	120	36	41	35
L1FLnI_Yq11.21m	120	79	111	77
L1FLnI_9q31.1c	119	109	136	106
L1FLnI_7q21.3a	119	131	188	137
L1FLnI_12p11.22b	119	95	242	83
L1FLnI_6p24.1b	119	153	178	157
L1FLnI_1p22.2c	119	67	173	66
L1FLnI_Xp11.21nb	119	103	194	101
L1FLnI_2q11.1c	119	81	122	53
L1FLI_1q25.3	118	100	112	69
L1FLnI_8q24.21g	118	43	158	49
L1FLnI_6q25.3l	118	89	189	79
L1FLnI_7q34f	118	172	125	159
L1FLnI_Xp22.11a	118	103	177	75
L1FLnI_4p15.2y	118	68	165	70
L1FLnI_10q24.2a	117	38	149	38
L1FLnI_5p13.2z	116	98	178	72
L1FLnI_4q26a	116	51	155	39
L1FLnI_11q12.1t	116	117	145	86
L1FLnI_6q13f	115	93	205	95
L1FLnI_4q24sa	115	79	227	76
L1FLnI_22q12.1h	115	74	138	79
L1FLnI_Xq26.2b	115	39	137	36
L1FLnI_7q34c	114	121	131	126
L1FLnI_14q31.2d	114	111	117	107
L1FLnI_5q35.1f	114	63	193	60
L1FLnI_15q21.1c	112	19	26	26
L1FLnI_3p14.1p	112	48	186	40
L1FLnI_10q22.3b	112	53	156	46
L1FLnI_2q14.1b	111	86	218	113
L1FLnI_Xq21.1hf	111	82	193	72
L1FLnI_5q32r	111	67	161	41
L1FLnI_1q24.2f	110	107	149	105
L1FLnI_9q22.31d	110	79	147	65
L1FLnI_6q14.1pa	110	46	120	43
L1FLnI_5p13.2ca	110	60	144	61
L1FLnI_7q11.23d	110	100	164	75
L1FLnI_3q26.33i	110	86	80	64
L1FLnI_9p22.3a	109	83	156	82
L1FLnI_Xp11.3t	109	65	145	56
L1FLnI_2q11.2b	109	58	155	49
L1FLnI_11p14.1e	109	122	159	136
L1FLnI_3p25.3f	109	75	153	82
L1FLnI_2q31.2a	108	73	112	46
L1FLnI_Yp11.2v	108	54	94	39
L1FLnI_1p22.1b	107	67	224	56
L1FLnI_8q24.3a	107	52	126	45
L1FLnI_9q31.1a	107	88	179	78
L1FLnI_4q13.3bb	106	77	189	79
L1FLnI_Xq21.1if	106	51	162	60
L1FLnI_15q15.1	106	70	153	44
L1FLnI_2q32.1ra	105	83	207	95
L1FLnI_13q32.1c	105	100	161	84
L1FLnI_19q12p	105	118	180	113
L1FLnI_15q15.3a	105	57	94	53
L1FLnI_1q24.2k	104	96	161	77
L1FLnI_5q21.1l	104	73	151	70
L1FLnI_4q27u	104	87	138	66
L1FLnI_2p23.1c	104	85	114	109
L1FLnI_3q22.2g	103	124	135	101
L1FLnI_4q24ya	103	115	183	85
L1FLnI_9q21.11i	102	124	208	105
L1FLnI_7q34b	102	105	139	109
L1FLnI_17q21.31	102	92	146	77
L1FLnI_12q14.1a	102	74	136	64
L1FLnI_Xq26.3i	102	62	114	64
L1FLnI_5q11.2za	102	71	156	62
L1FLnI_18p11.31q	102	61	144	59
L1FLnI_8q23.1d	102	110	177	76
L1FLnI_12p13.32e	102	101	195	59
L1FLnI_4q31.21j	102	34	131	38
L1FLnI_9q21.12h	102	95	129	51
L1FLnI_11q23.2d	101	45	78	33
L1FLnI_6q13n	101	95	222	110
L1FLnI_13q14.2v	101	62	176	63
L1FLnI_13q34c	101	38	100	46
L1FLnI_12q23.3e	100	86	139	71
L1FLnI_2p15h	100	34	179	42
L1FLnI_13q32.1e	100	68	155	63
L1FLnI_8q11.21g	100	100	125	73
L1FLnI_13q14.2o	100	93	115	90
L1FLnI_4q12ha	100	79	220	66
L1FLnI_20p12.3g	99	51	171	38
L1FLnI_Xq13.3q	99	83	143	65
L1FLnI_3q13.33w	98	67	141	53
L1FLnI_13q32.1g	98	66	148	52
L1FLnI_2q33.1r	97	51	187	58
L1FLnI_20p12.2b	97	70	121	71
L1FLnI_5q23.2ma	97	94	123	52
L1FLnI_11p13y	97	49	133	65
L1FLnI_Xq22.3ia	97	65	166	53
L1FLnI_2q14.1ba	97	52	148	37
L1FLnI_4q25e	97	54	133	55
L1FLnI_6q22.31p	96	82	148	69
L1FLnI_4p16.2h	96	78	94	49
L1FLnI_10q23.1ha	96	63	140	48
L1FLnI_21q21.3b	96	78	126	56
L1FLnI_1q42.12h	95	54	137	40
L1FLnI_Xq11.2ga	95	55	160	53
L1FLnI_4p15.32d	95	45	175	44
L1FLnI_6q22.1x	95	35	136	36
L1FLnI_9p21.1ea	95	50	117	25
L1FLnI_6q22.1ca	94	86	139	78
L1FLnI_1q25.3s	94	55	144	45
L1FLnI_2q14.1z	94	33	116	36
L1FLnI_3q26.1ma	94	44	165	54
L1FLnI_5q35.1h	94	47	101	26
L1FLnI_Xp11.3ja	93	70	120	50
L1FLnI_11q23.2b	93	65	147	69
L1FLnI_1p13.1b	93	50	129	27
L1FLnI_1q41aa	93	58	132	43
L1FLnI_Xp22.2j	93	80	102	39
L1FLnI_3p14.3k	93	47	96	43
L1FLnI_6q16.3e	92	60	133	41
L1FLnI_7q21.13p	92	54	169	52
L1FLnI_22p11.2g	92	68	107	55
L1FLnI_5q35.1i	91	49	116	35
L1FLnI_8q21.3aa	91	89	146	81
L1FLnI_9p21.1ga	91	61	144	59
L1FLnI_3q21.2a	90	69	77	46
L1FLnI_4p15.32a	89	32	110	30
L1FLnI_6q14.2a	89	45	118	26
L1FLnI_Xq21.1aa	89	79	100	69
L1FLnI_3p21.2k	89	44	122	38
L1FLnI_7q22.1h	89	91	113	72
L1FLnI_6q16.3ma	89	47	116	45
L1FLnI_Yp11.31a	89	16	23	13
L1FLnI_4q12e	88	81	115	62
L1FLnI_15q14b	88	55	128	55
L1FLnI_8q13.3e	88	61	117	44
L1FLnI_9q31.1d	87	72	137	65
L1FLnI_9q22.31c	87	67	122	46
L1FLnI_6q14.2d	87	77	137	61
L1FLnI_1q25.2p	86	52	143	44
L1FLnI_10q11.21g	86	42	119	37
L1FLnI_6q22.31d	85	76	93	67
L1FLnI_6q27u	85	46	84	41
L1FLnI_Xp22.13a	85	47	120	60
L1FLnI_1q21.1c	85	65	97	48
L1FLnI_4q28.2i	85	26	78	28
L1FLnI_11q21q	85	66	134	55
L1FLnI_9q21.33i	85	64	102	54
L1FLnI_6q16.1ca	85	86	78	73
L1FLnI_2q14.1y	85	44	101	33
L1FLnI_5q35.1l	84	64	149	51
L1FLnI_Xq11.1q	84	40	104	33
L1FLnI_5q11.2ab	84	83	170	96
L1FLnI_15q25.3d	84	64	118	44
L1FLnI_1p32.3c	84	61	116	37
L1FLnI_1q42.12e	84	62	149	32
L1FLnI_22q11.23a	83	61	110	61
L1FLnI_4q26oa	83	33	166	33
L1FLnI_3q23w	83	59	120	61
L1FLnI_7p22.3	82	52	140	51
L1ORF2_8q24.22	82	33	104	41
L1FLnI_6q21d	82	57	128	55
L1FLnI_3p24.3db	82	95	127	71
L1FLnI_4q24ab	82	59	88	39
L1FLnI_9q13h	82	64	107	68
L1FLnI_13q14.2t	81	45	133	42
L1FLnI_Xq13.3p	81	34	153	34
L1FLnI_12p13.32f	81	60	113	50
L1FLnI_15q26.3d	81	40	104	46
L1FLnI_3q26.2i	81	51	129	73
L1FLnI_20p13i	80	79	100	85
L1FLnI_2q11.2m	80	51	91	44
L1FLnI_19q13.31e	80	53	135	58
L1FLnI_14q21.1a	79	141	125	107
L1FLnI_15q13.3g	79	30	83	38
L1FLnI_5q23.2na	79	54	102	53
L1FLnI_1q42.13b	79	26	153	30
L1FLnI_10q22.2d	79	61	124	52
L1FLnI_3q22.3b	79	38	80	39
L1FLnI_15q13.2f	79	37	106	33
L1FLnI_13q14.11h	79	31	97	33
L1FLnI_18q12.2d	78	68	119	50
L1FLnI_2p13.2h	78	32	112	38
L1FLnI_3p24.3e	78	66	124	36
L1FLnI_1q32.2o	78	52	114	32
L1FLnI_11p14.1d	78	78	139	80
L1FLnI_8q11.21a	78	50	81	38
L1FLnI_1q42.12f	78	49	87	36
L1FLnI_3p26.2c	78	47	109	29
L1FLnI_7p14.1v	78	15	17	21
L1FLnI_3q23g	77	66	108	54
L1FLnI_Xp11.21eb	77	59	170	61
L1FLnI_11p15.1l	77	96	107	82
L1FLnI_4q24p	76	22	107	15
L1FLnI_16q12.2d	76	82	85	74
L1FLnI_12q21.2g	76	34	71	22
L1FLnI_1p21.2m	76	56	138	53
L1FLnI_5q14.1u	76	38	98	32
L1FLnI_2q31.1t	76	79	126	56
L1FLnI_Xq21.1fc	76	33	108	36
L1FLnI_8p22n	76	62	152	48
L1FLnI_3p24.3cb	76	44	102	42
L1FLnI_12q23.1ga	75	50	114	20
L1FLnI_5p13.2k	75	102	98	96
L1FLnI_4p15.33p	75	43	87	37
L1FLnI_Xq11.1p	75	55	121	37
L1FLnI_8q22.2g	75	35	76	33
L1FLnI_Xq28ta	75	44	73	21
L1FLnI_5q22.3w	75	43	91	42
L1FLnI_2q33.1b	75	66	112	53
L1FLnI_2p22.1i	75	60	116	61
